Armadillo,mammal
Bat,mammal
Bear,mammal
Beaver,mammal
Cat,mammal
Chimpanzee,mammal
Cow,mammal
Coyote,mammal
Deer,mammal
Dog,mammal
Dolphin,mammal
Elephant,mammal
Fox,mammal
Panda,mammal
Gibbon,mammal
Giraffe,mammal
Goat,mammal
Gopher,mammal
Hedgehog,mammal
Hippopotamus,mammal
Horse,mammal
Humpback whale,mammal
Jaguar,mammal
Kangaroo,mammal
Koala,mammal
Leopard,mammal
Lion,mammal
Llama,mammal
Lynx,mammal
Mole,mammal
Monkey,mammal
Mouse,mammal
Narwhal,mammal
Orangutan,mammal
Orca,mammal
Otter,mammal
Ox,mammal
Pig,mammal
Polar bear,mammal
Porcupine,mammal
Puma,mammal
Rabbit,mammal
Raccoon,mammal
Rat,mammal
Rhinoceros,mammal
Sheep,mammal
Squirrel,mammal
Tiger,mammal
Walrus,mammal
Weasel,mammal
Wolf,mammal
Zebra,mammal
Goat,mammal
Horse,mammal
